model_id cre_line level_of_detail location ei tau reporter_status delta_ymax delta_ymin morphology electrophysiology rotation_angle_zaxis pia_distance
323834998 Scnn1a biophysical VisL6a inhibitory 0.0227804218734 positive 154.294530999 -239.654594582 Scnn1a-Tg3-Cre_Ai14-172530.03.01.01_491771137_m.swc 323834998_fit.json -1.985705715 750.0184137
323865917 Scnn1a biophysical VisL5 excitatory 0.0151205033028 positive 506.084874118 -111.209811952 Scnn1a-Tg3-Cre_Ai14-172530.06.01.01_492413272_m.swc 323865917_fit.json -3.159375068 564.8486359
324025297 Rorb biophysical VisL5 excitatory 0.0444967088607 positive 440.316889362 -41.8132867509 Rorb-IRES2-Cre-D_Ai14-172651.04.01.01_491458287_m.swc 324025297_fit.json 1.501937738 464.2912222
324025371 Rorb biophysical VisL4 excitatory 0.0237013041803 positive 344.045393926 -66.1185184385 Rorb-IRES2-Cre-D_Ai14-172651.01.01.01_491770168_m.swc 324025371_fit.json -3.801429899 390.4489739
324266189 Sst biophysical VisL5 excitatory 0.0130338496909 positive 184.64004912 -149.659878789 Sst-IRES-Cre_Ai14-173191.06.02.01_491119812_m.swc 324266189_fit.json -2.701713038 321.1459368
324466858 Sst biophysical VisL5 excitatory 0.0266211486145 positive 195.860072592 -339.650911342 Sst-IRES-Cre_Ai14-173196.03.02.01_491458442_m.swc 324466858_fit.json -2.790870716 714.3154079
324493977 Sst biophysical VisL2/3 inhibitory 0.0162749918901 positive 289.588245407 -185.831473584 Sst-IRES-Cre_Ai14-173196.03.01.01_491770223_m.swc 324493977_fit.json -3.618622231 266.5619748
324521027 Scnn1a biophysical VisL4 excitatory 0.0360892798301 positive 475.435684978 -107.554175043 Scnn1a-Tg2-Cre_Ai14-173240.03.02.01_491770179_m.swc 324521027_fit.json -2.5269838 535.1301693
327962063 Htr3a biophysical VisL2/3 inhibitory 0.0343375477887 positive 257.319727102 -268.457540392 Htr3a-Cre_NO152_Ai14-175482.03.02.01_491119419_m.swc 327962063_fit.json -3.531398005 251.9663241
329550137 Rorb biophysical VisL4 excitatory 0.0305584501601 positive 437.426648325 -63.4999461532 Rorb-IRES2-Cre-D_Ai14-176684.04.01.01_491771001_m.swc 329550137_fit.json -2.196588467 447.4671124
330080937 Pvalb biophysical VisL5 inhibitory 0.0173041113037 positive 128.904653738 -297.701573612 Pvalb-IRES-Cre_Ai14-176847.04.02.01_491120133_m.swc 330080937_fit.json -2.539551891 823.7177191
333604946 Pvalb biophysical VisL4 inhibitory 0.0118102928246 positive 233.941855551 -184.558729768 Pvalb-IRES-Cre_Ai14-176848.03.01.01_491119484_m.swc 333604946_fit.json -3.975017803 347.9507403
333785962 Pvalb biophysical VisL5 inhibitory 0.0460514885097 positive 283.595624328 -164.584018145 Pvalb-IRES-Cre_Ai14-176852.05.02.01_513557613_m.swc 333785962_fit.json -2.336541883 519.0500019
341442651 Pvalb biophysical VisL2/3 inhibitory 0.00580530931359 positive 164.193737457 -160.337461224 Pvalb-IRES-Cre_Ai14-178310.02.01.01_513557093_m.swc 341442651_fit.json -3.936839921 203.1926282
348592897 Scnn1a biophysical VisL4 excitatory 0.0442889807008 positive 453.590828234 -148.254373753 Scnn1a-Tg2-Cre_Ai14-176958.04.01.01_491771013_m.swc 348592897_fit.json -2.785802781 449.8484809
349621141 Scnn1a biophysical VisL5 excitatory 0.0139280254218 positive 423.838257699 -50.9031725254 Scnn1a-Tg2-Cre_Ai14-176961.06.02.01_491253847_m.swc 349621141_fit.json -3.344844607 473.8585121
354190013 Scnn1a biophysical VisL5 excitatory 0.0280451335926 positive 597.1169491 -141.330452607 Scnn1a-Tg2-Cre_Ai14-176962.05.01.01_495335447_m.swc 354190013_fit.json 0.954951529 597.2054017
370351753 Nr5a1 biophysical VisL4 excitatory 0.0320085252558 positive 366.560057781 -92.0414514453 Nr5a1-Cre_Ai14-177332.03.01.01_491120166_m.swc 370351753_fit.json -2.683890192 448.9162282
382982932 Nr5a1 biophysical VisL2/3 excitatory 0.0550656004455 positive 420.462568111 -112.696493107 Nr5a1-Cre_Ai14-177333.03.01.01_491771090_m.swc 382982932_fit.json -2.825892419 386.2714578
386049446 Nr5a1 biophysical VisL4 excitatory 0.0436723248947 positive 337.817762969 -117.132254354 Nr5a1-Cre_Ai14-177334.05.01.01_491459171_m.swc 386049446_fit.json -2.922590608 348.2007274
395830185 Scnn1a biophysical VisL4 excitatory 0.0346734725265 positive 360.646502223 -87.0137111634 Scnn1a-Tg3-Cre_Ai14-177300.01.02.01_491771068_m.swc 395830185_fit.json -3.646878266 372.9703798
396608557 Pvalb biophysical VisL5 inhibitory 0.00560286414697 positive 288.50417897 -244.17774817 Pvalb-IRES-Cre_Ai14-177452.03.02.01_491119336_m.swc 396608557_fit.json -2.774173623 649.7063975
396968721 Gad2 biophysical VisL5 inhibitory 0.0653738540877 positive 242.240636016 -149.452327641 Gad2-IRES-Cre_Ai14-177637.02.02.01_491771124_m.swc 396968721_fit.json -2.822196764 684.8153139
397351623 Nr5a1 biophysical VisL4 excitatory 0.100523431743 positive 430.505463851 -38.6052943977 Nr5a1-Cre_Ai14-177834.02.01.01_491458970_m.swc 397351623_fit.json -2.745441809 468.4762246
422738880 Nr5a1 biophysical VisL4 excitatory 0.0410862926848 positive 330.240149686 -82.1950657274 Nr5a1-Cre_Ai14-178521.04.02.01_492100683_m.swc 422738880_fit.json -3.630886627 425.2448851
464188580 Htr3a biophysical VisL2/3 inhibitory 0.0131075436009 positive 130.619922276 -62.6546116065 Htr3a-Cre_NO152_Ai14-178910.03.01.01_491120333_m.swc 464188580_fit.json -3.90640053 268.1239839
464198958 Sst biophysical VisL5 inhibitory 0.00892650569709 positive 116.519285923 -168.529915274 Sst-IRES-Cre_Ai14-165865.03.01.01_491119181_m.swc 464198958_fit.json -4.354100786 606.8151656
464212183 Sst biophysical VisL5 inhibitory 0.0179161722547 positive 13.6782629828 -272.453038524 Sst-IRES-Cre_Ai14-165865.05.02.01_491119537_m.swc 464212183_fit.json -2.525770936 814.4222504
466245544 Pvalb biophysical VisL6a inhibitory 0.0779527868138 positive 357.384614623 -137.654396483 Pvalb-IRES-Cre_Ai14-170929.04.01.01_491458275_m.swc 466245544_fit.json -3.727569786 981.2510119
466632464 Ntsr1 biophysical VisL6a excitatory 0.0433742058181 positive 723.230845547 -73.7508796719 Ntsr1-Cre_Ai14-171080.04.02.01_492413307_m.swc 466632464_fit.json 0.201120497 884.5157735
466664172 Sst biophysical VisL5 inhibitory 0.0172393903693 positive 84.1258736978 -92.2007841958 Sst-IRES-Cre_Ai14-179870.04.01.01_491120344_m.swc 466664172_fit.json -3.581464823 783.3342672
467782778 Scnn1a biophysical VisL5 inhibitory 0.0384360531376 negative 65.8404633494 -321.98262044 Scnn1a-Tg2-Cre_Ai14-176961.05.01.01_491771079_m.swc 467782778_fit.json -3.332293906 510.7404711
468120757 Scnn1a biophysical VisL5 excitatory 0.00982279300277 positive 557.278078898 -104.199997661 Scnn1a-Tg3-Cre_Ai14-177297.05.02.01_495335458_m.swc 468120757_fit.json -3.568498028 541.0889975
468193142 Scnn1a biophysical VisL5 excitatory 0.0134778352434 positive 441.663299907 -45.7672999488 Scnn1a-Tg3-Cre_Ai14-177297.06.01.01_491120155_m.swc 468193142_fit.json -3.075361913 438.2139832
469610831 Pvalb biophysical VisL5 inhibitory 0.0996455248207 positive 46.5471301261 -153.353847453 Pvalb-IRES-Cre_Ai14-177452.03.01.01_491120251_m.swc 469610831_fit.json -3.630402569 673.9439645
469753383 Htr3a biophysical VisL2/3 inhibitory 0.00490387696929 positive 103.962163622 -66.7868133866 Htr3a-Cre_NO152_Ai14-178904.04.01.01_491120305_m.swc 469753383_fit.json -3.207681969 175.3602035
469793303 Scnn1a biophysical VisL5 excitatory 0.0452547039576 positive 408.362166027 -49.0646658841 Scnn1a-Tg3-Cre_Ai14-180214.05.02.01_492413246_m.swc 469793303_fit.json -3.356226783 464.977714
469798159 Scnn1a biophysical VisL4 excitatory 0.0821944966073 positive 334.643394003 -88.1471070854 Scnn1a-Tg3-Cre_Ai14-180214.05.01.01_491253802_m.swc 469798159_fit.json -2.744777652 364.814733
469801569 Pvalb biophysical VisL5 inhibitory 0.17194226866 positive 191.181454824 -222.207107253 Pvalb-IRES-Cre_Ai14-172096.04.02.01_491119732_m.swc 469801569_fit.json -3.417285863 584.3751824
471077468 Pvalb biophysical VisL2/3 inhibitory 0.01045226508 positive 254.610247786 -100.051934814 Pvalb-IRES-Cre_Ai14-180633.03.02.01_500919203_m.swc 471077468_fit.json -2.563890388 435.2854667
471077857 Pvalb biophysical VisL5 inhibitory 0.00986848177696 positive 335.518796174 -273.707495377 Pvalb-IRES-Cre_Ai14-180633.05.01.01_491119234_m.swc 471077857_fit.json -2.864869409 637.3616268
471085676 Pvalb biophysical VisL5 inhibitory 0.0795804092185 positive 163.391078766 -56.4681870765 Pvalb-IRES-Cre_Ai14-180633.04.01.01_491771159_m.swc 471085676_fit.json -3.397520632 577.4105779
471087830 Pvalb biophysical VisL6a inhibitory 0.0418516872978 positive 132.697996555 -187.704954019 Pvalb-IRES-Cre_Ai14-180634.04.01.01_495335480_m.swc 471087830_fit.json -3.397673317 803.9136418
471129934 Rbp4 biophysical VisL5 excitatory 0.0055026028919 positive 499.557723571 -153.519183668 Rbp4-Cre_KL100_Ai14-180747.06.01.01_495335491_m.swc 471129934_fit.json -2.527764895 500.5549712
471143169 Rbp4 biophysical VisL5 excitatory 0.0337186892704 positive 690.791764282 -133.087112798 Rbp4-Cre_KL100_Ai14-180747.06.02.01_492413283_m.swc 471143169_fit.json -3.345460727 704.7645331
471410185 Ntsr1 biophysical VisL6a excitatory 0.0202473252307 positive 349.513399709 -62.1836686265 Ntsr1-Cre_Ai14-180761.02.01.01_491459160_m.swc 471410185_fit.json -2.060192672 894.3402011
471758398 Rbp4 biophysical VisL5 excitatory 0.00298424781171 positive 445.844300406 -119.803495022 Rbp4-Cre_KL100_Ai14-180748.06.01.01_495335436_m.swc 471758398_fit.json -3.055433991 701.8468199
471767045 Rbp4 biophysical VisL5 excitatory 0.0214508990958 positive 566.890952205 -122.058947607 Rbp4-Cre_KL100_Ai14-180748.02.02.01_491771193_m.swc 471767045_fit.json -3.90223165 545.1332417
471786879 Ntsr1 biophysical VisL6a excitatory 0.0209257845119 positive 851.137719845 -76.0623989821 Ntsr1-Cre_Ai14-181184.05.02.01_491392868_m.swc 471786879_fit.json -3.844036588 876.2232846
471789504 Ntsr1 biophysical VisL6a excitatory 0.0221051469422 positive 834.011761381 -60.9063682841 Ntsr1-Cre_Ai14-181184.05.01.01_492413318_m.swc 471789504_fit.json -2.840192782 904.5666985
471819401 Ntsr1 biophysical VisL6a excitatory 0.0177401711309 positive 418.455254131 -81.2262819538 Ntsr1-Cre_Ai14-181184.02.02.01_491771181_m.swc 471819401_fit.json -3.847567702 745.1628081
473016550 Sst biophysical VisL4 inhibitory 0.0572108810961 positive 290.081321514 -195.051047617 Sst-IRES-Cre_Ai14-181378.05.01.01_491120060_m.swc 473016550_fit.json -3.641330063 358.7154033
473020156 Rorb biophysical VisL4 excitatory 0.0133282966385 positive 416.949893593 -80.2475900232 Rorb-IRES2-Cre-D_Ai14-181710.05.02.01_491771275_m.swc 473020156_fit.json -3.637014388 421.1029173
473540161 Sst biophysical VisL2/3 inhibitory 0.0139676164531 positive 190.516664929 -89.228637439 Sst-IRES-Cre_Ai14-182533.03.01.01_491770708_m.swc 473540161_fit.json -3.623284892 291.5359899
473543792 Sst biophysical VisL5 inhibitory 0.00851966928215 positive 766.618553739 -223.329963208 Sst-IRES-Cre_Ai14-182533.04.02.01_491119394_m.swc 473543792_fit.json -3.7609074 755.5280299
473564515 Sst biophysical VisL6a inhibitory 0.00827829427165 positive 510.65138363 -140.051743552 Sst-IRES-Cre_Ai14-182533.05.01.01_491770886_m.swc 473564515_fit.json -2.618299327 818.3523803
473601979 Rorb biophysical VisL5 excitatory 0.0146748693922 positive 571.856695131 -116.012493937 Rorb-IRES2-Cre-D_Ai14-181715.04.01.01_491392833_m.swc 473601979_fit.json -2.821210063 553.6582373
473943881 Htr3a biophysical VisL2/3 inhibitory 0.00338288036304 positive 158.684059987 -268.646711653 Htr3a-Cre_NO152_Ai14-182494.05.01.01_492100793_m.swc 473943881_fit.json -2.943679781 351.9471202
474267418 Htr3a biophysical VisL2/3 inhibitory 0.00637189722756 positive 193.392932091 -236.305464503 Htr3a-Cre_NO152_Ai14-182497.03.01.01_491119305_m.swc 474267418_fit.json -2.429069517 190.0056146
474626527 Htr3a biophysical VisL4 inhibitory 0.00968368652909 positive 231.568940052 -389.996386889 Htr3a-Cre_NO152_Ai14-182004.05.02.01_491120373_m.swc 474626527_fit.json -3.770827079 400.9289692
475057898 Sst biophysical VisL5 excitatory 0.0547077449217 positive 796.461188718 -300.887454447 Sst-IRES-Cre_Ai14-183332.05.01.01_491771290_m.swc 475057898_fit.json -2.580592347 816.1138294
475068599 Sst biophysical VisL2/3 inhibitory 0.00806166789612 positive 179.289249935 -228.656973909 Sst-IRES-Cre_Ai14-183332.06.02.01_495889919_m.swc 475068599_fit.json -3.348717109 195.8882388
475459689 Nr5a1 biophysical VisL4 excitatory 0.00814403139956 positive 422.633495107 -83.1250785551 Nr5a1-Cre_Ai14-184650.06.01.01_491392945_m.swc 475459689_fit.json -2.653785216 443.0719487
475517090 Sst biophysical VisL5 inhibitory 0.0781907564407 positive 75.3738689636 -284.913649182 Sst-IRES-Cre_Ai14-184927.03.02.01_492100832_m.swc 475517090_fit.json -2.626102185 704.6064388
475585413 Htr3a biophysical VisL1 inhibitory 0.00248732513377 positive 80.8443733525 -238.730075462 Htr3a-Cre_NO152_Ai14-185347.03.02.01_492100857_m.swc 475585413_fit.json -2.706775419 75.48706769
475622680 Htr3a biophysical VisL2/3 inhibitory 0.0226543454232 positive 204.525432554 -62.5027506092 Htr3a-Cre_NO152_Ai14-185555.03.01.01_491119960_m.swc 475622680_fit.json -2.462350205 214.7134768
475622793 Htr3a biophysical VisL2/3 inhibitory 0.0045951880526 positive 158.746152171 -143.043337954 Htr3a-Cre_NO152_Ai14-185553.05.01.01_491119938_m.swc 475622793_fit.json -3.158924633 129.6236525
475744706 Htr3a biophysical VisL6a excitatory 0.0446604016369 positive 646.003859075 -129.692734677 Htr3a-Cre_NO152_Ai14-185556.06.01.01_492413499_m.swc 475744706_fit.json -2.970834607 728.6872479
475888653 Pvalb biophysical VisL6a inhibitory 0.00866570401457 positive 191.646263544 -163.315767111 Pvalb-IRES-Cre_Ai14-187029.03.02.01_491119916_m.swc 475888653_fit.json -2.149943828 412.991164
476048909 Rorb biophysical VisL5 excitatory 0.0146783365444 positive 521.465169965 -204.124933111 Rorb-IRES2-Cre-D_Ai14-187416.05.01.01_491796267_m.swc 476048909_fit.json -2.393434965 482.8514753
476049169 Rorb biophysical VisL5 excitatory 0.00983189961322 positive 649.978054791 -67.7735066967 Rorb-IRES2-Cre-D_Ai14_IVSCC_-187416.06.02.01_485996843_m.swc 476049169_fit.json -3.101282196 731.9000367
476054887 Scnn1a biophysical VisL4 excitatory 0.0273210626106 negative 477.525551267 -92.0103708752 Scnn1a-Tg2-Cre_Ai14-185900.04.02.01_491771354_m.swc 476054887_fit.json -3.563304622 464.224055
476087653 Nr5a1 biophysical VisL2/3 excitatory 0.0272126549688 positive 264.192761511 -96.1402414344 Nr5a1-Cre_Ai14-186567.03.02.01_495337183_m.swc 476087653_fit.json -4.042862642 345.1554726
476104386 Sst biophysical VisL6a inhibitory 0.0206019342876 positive 290.834371361 -89.9470697359 Sst-IRES-Cre_Ai14-187427.04.01.01_491119894_m.swc 476104386_fit.json -2.917017239 835.4143469
476126528 Scnn1a biophysical VisL4 excitatory 0.0188747924145 positive 464.219156947 -86.7376343293 Scnn1a-Tg3-Cre_Ai14-187849.05.02.01_491119823_m.swc 476126528_fit.json -3.829169622 430.3591875
476131588 Scnn1a biophysical VisL5 excitatory 0.0186509857279 positive 385.999250494 -70.5305944447 Scnn1a-Tg3-Cre_Ai14-187849.06.02.01_491392799_m.swc 476131588_fit.json -3.680365176 431.3453061
476216637 Scnn1a biophysical VisL5 excitatory 0.0102066700586 positive 307.757010703 -85.6920197715 Scnn1a-Tg3-Cre_Ai14-187852.05.02.01_491392856_m.swc 476216637_fit.json -3.815497334 350.6122807
476218657 Scnn1a biophysical VisL4 excitatory 0.017332640189 positive 462.307001965 -86.718709613 Scnn1a-Tg3-Cre_Ai14_IVSCC_-187852.04.02.01_484775243_m.swc 476218657_fit.json -3.84662346 431.9885909
476451456 Nr5a1 biophysical VisL4 excitatory 0.0862175157344 negative 422.202370337 -60.2964886513 Nr5a1-Cre_Ai14-187777.05.02.01_491392821_m.swc 476451456_fit.json -3.524802126 438.5819911
476455864 Nr5a1 biophysical VisL4 excitatory 0.0110603463003 positive 361.70388116 -121.986570534 Nr5a1-Cre_Ai14-187779.04.01.01_491771365_m.swc 476455864_fit.json -2.679373959 372.2015678
476457450 Nr5a1 biophysical VisL4 excitatory 0.0401587092507 positive 407.458020456 -69.2211773138 Nr5a1-Cre_Ai14-187780.03.02.01_491253858_m.swc 476457450_fit.json -3.650025723 428.1795731
476616076 Rorb biophysical VisL4 excitatory 0.00985072874323 positive 438.43372427 -52.327968363 Rorb-IRES2-Cre-D_Ai14-188712.05.02.01_495889950_m.swc 476616076_fit.json -3.988890071 430.0119957
476686112 Sst biophysical VisL2/3 inhibitory 0.00244510557483 positive 313.944580377 -519.261098911 Sst-IRES-Cre_Ai14-188740.03.02.01_491119369_m.swc 476686112_fit.json -2.586554962 267.117568
476754635 Sst biophysical VisL6a excitatory 0.00729445844879 positive 90.0609670143 -240.716776907 Sst-IRES-Cre_Ai14-188741.06.02.01_491771387_m.swc 476754635_fit.json -3.963119048 683.4371557
477127614 Slc17a6 biophysical VisL2/3 excitatory 0.123110264606 positive 316.027610645 -138.531665821 Slc17a6-IRES-Cre_Ai14-190263.04.01.01_491392956_m.swc 477127614_fit.json -2.368027638 277.1248474
477135941 Slc17a6 biophysical VisL4 excitatory 0.022433539907 positive 419.86911088 -139.084405378 Slc17a6-IRES-Cre_Ai14-190263.06.01.01_491771398_m.swc 477135941_fit.json -2.769210618 423.366129
478058328 Pvalb biophysical VisL6a inhibitory 0.00735598113227 positive 319.987619192 -163.769739679 Pvalb-IRES-Cre_Ai14-191322.04.02.01_491119269_m.swc 478058328_fit.json -2.322233391 845.2462521
478107198 Htr3a biophysical VisL1 inhibitory 0.0085948190322 positive 66.2807845436 -73.8012276125 Htr3a-Cre_NO152_Ai14-192819.04.02.01_491119743_m.swc 478107198_fit.json -3.465523998 138.9535925
478110866 Htr3a biophysical VisL5 inhibitory 0.0947954115225 positive 578.655681571 -270.81534978 Htr3a-Cre_NO152_Ai14-192821.05.01.01_491771409_m.swc 478110866_fit.json -3.00089717 561.9858098
478396248 Sst biophysical VisL5 inhibitory 0.0310088711655 positive 88.9851282764 -217.773209773 Sst-IRES-Cre_Ai14-192340.03.01.01_491119721_m.swc 478396248_fit.json -3.931328536 593.0439515
478497530 Rorb biophysical VisL4 excitatory 0.0725329785602 negative 525.057704799 -153.670621737 Rorb-IRES2-Cre-D_Ai14-192794.05.02.01_491770902_m.swc 478497530_fit.json -3.76152635 551.1464962
478499902 Rorb biophysical VisL2/3 excitatory 0.0734768033984 positive 354.848626014 -114.365440841 Rorb-IRES2-Cre-D_Ai14-192794.05.01.01_492413653_m.swc 478499902_fit.json -2.314135656 370.665884
478586295 Rorb biophysical VisL5 excitatory 0.00612547928089 positive 570.204002422 -112.558159752 Rorb-IRES2-Cre-D_Ai14-194322.05.02.01_492413664_m.swc 478586295_fit.json -3.784408284 558.3341023
478793814 Pvalb biophysical VisL5 inhibitory 0.116280868734 positive 167.310761163 -68.3408686061 Pvalb-IRES-Cre_Ai14-195045.05.02.01_491119688_m.swc 478793814_fit.json -3.881223166 541.8959457
478828646 Pvalb biophysical VisL6a inhibitory 0.0226804246331 positive 169.306912762 -136.213756893 Pvalb-IRES-Cre_Ai14-195049.06.01.01_491119604_m.swc 478828646_fit.json -2.695630653 827.2738801
478888052 Scnn1a biophysical VisL5 excitatory 0.0890622549164 negative 552.617413254 -183.367575201 Scnn1a-Tg2-Cre_Ai14-193643.06.02.01_491771435_m.swc 478888052_fit.json -3.673181728 549.7816399
478888083 Scnn1a biophysical VisL4 inhibitory 0.0230920921489 negative 235.247584166 -82.4834846549 Scnn1a-Tg2-Cre_Ai14-193643.04.01.01_491770923_m.swc 478888083_fit.json -2.49750436 344.4516681
478892782 Scnn1a biophysical VisL4 excitatory 0.0391536160697 negative 376.963677116 -65.3228521974 Scnn1a-Tg2-Cre_Ai14-193643.02.02.01_491770934_m.swc 478892782_fit.json -3.979349164 376.2902265
479010903 Pvalb biophysical VisL5 excitatory 0.0265580508878 negative 405.021936531 -113.086754752 Pvalb-IRES-Cre_Ai14-195278.05.01.01_491771423_m.swc 479010903_fit.json 1.02756095 573.1907267
479179020 Rorb biophysical VisL4 excitatory 0.0405195970434 positive 469.290832364 -94.6890525845 Rorb-IRES2-Cre-D_Ai14-194017.03.01.01_491770945_m.swc 479179020_fit.json -2.779401732 477.538619
479220013 Htr3a biophysical VisL2/3 inhibitory 0.00759389857728 positive 83.7446960678 -102.120541519 Htr3a-Cre_NO152_Ai14-195039.04.02.01_491119581_m.swc 479220013_fit.json -2.769132551 288.5530753
479704527 Rbp4 biophysical VisL4 excitatory 0.0208669188446 negative 498.518566858 -138.096286263 Rbp4-Cre_KL100_Ai14-196623.04.01.01_491119548_m.swc 479704527_fit.json -2.249525038 500.610658
479728896 Rbp4 biophysical VisL5 excitatory 0.0278286183168 negative 435.201784323 -57.9296809813 Rbp4-Cre_KL100_Ai14-196624.06.02.01_491253814_m.swc 479728896_fit.json -3.226958881 462.247012
479770916 Rorb biophysical VisL5 excitatory 0.012649865328 negative 621.682334565 -139.059381876 Rorb-IRES2-Cre-D_Ai14-196664.06.02.01_491392810_m.swc 479770916_fit.json 0.940011403 588.2624517
480087928 Rorb biophysical VisL4 excitatory 0.071358337759 positive 415.34772362 -45.5953291804 Rorb-IRES2-Cre-D_Ai14-197330.06.01.01_491770970_m.swc 480087928_fit.json -2.744539443 426.8720518
480116737 Rorb biophysical VisL5 excitatory 0.011464608167 positive 501.726459493 -106.548072468 Rorb-IRES2-Cre-D_Ai14-197332.04.02.01_492100936_m.swc 480116737_fit.json -3.94338236 527.9641345
480124551 Rorb biophysical VisL4 excitatory 0.0162930964562 positive 353.833629149 -118.52245544 Rorb-IRES2-Cre-D_Ai14-197352.06.01.01_491253869_m.swc 480124551_fit.json -3.665282677 394.4102509
480169178 Rorb biophysical VisL5 excitatory 0.0593155012377 positive 543.436780303 -107.180977448 Rorb-IRES2-Cre-D_Ai14-197353.06.02.01_496079587_m.swc 480169178_fit.json -3.84144964 531.1774641
480351780 Rorb biophysical VisL5 excitatory 0.0170626146699 positive 599.709662227 -144.805657185 Rorb-IRES2-Cre-D_Ai14-197851.04.01.01_491770985_m.swc 480351780_fit.json -2.398954983 610.4583061
